,returns,class,signal,strat_ret,hold,strategy
2022-05-18 17:00:00,-0.005709486969933564,0,0,0.005709486969933564,0.9942905130300664,1.0057094869699337
2022-05-18 18:00:00,0.006345742880453864,1,0,-0.006345742880453864,1.0006000249742297,0.9993275131531894
2022-05-18 19:00:00,0.0053028700931134765,1,1,0.0053028700931134765,1.0059060769218342,1.004626817135915
2022-05-18 20:00:00,-0.0041875745544193155,0,1,-0.0041875745544193155,1.0016937702299806,1.0004198674397893
2022-05-18 21:00:00,-0.0017927486955364724,0,1,-0.0017927486955364724,0.9998979850300738,0.9986263660274478
2022-05-18 22:00:00,-0.00541451764821177,0,1,-0.00541451764821177,0.994484019743717,0.9932192859446226
2022-05-18 23:00:00,-0.008436226417535941,0,1,-0.008436226417535941,0.9860943273845377,0.9848402631661304
2022-05-19 00:00:00,0.005599474983372321,1,1,0.005599474983372321,0.9916159379019728,0.9903548515823469
2022-05-19 01:00:00,-0.004003097410393508,0,0,0.004003097410393508,0.9876464027088525,0.9943193385240868
2022-05-19 02:00:00,0.010541516902090153,1,0,-0.010541516902090153,0.9980576939562964,0.9838377044109601
2022-05-19 03:00:00,0.003737844266249013,1,0,-0.003737844266249013,1.0017882781850367,0.980160272288608
2022-05-19 04:00:00,-0.0029211713937433714,0,1,-0.0029211713937433714,0.9988618829242152,0.9772970561399148
2022-05-19 06:00:00,0.009459303067201663,1,1,0.009459303067201663,1.008310420197071,0.9865416051806263
2022-05-19 07:00:00,-0.0056410794148537,0,1,-0.0056410794148537,1.0026224610419148,0.9809764456397452
2022-05-19 08:00:00,-0.005494847994150787,0,1,-0.005494847994150787,0.9971132030229681,0.9755861291851124
2022-05-19 09:00:00,-0.0009484711793149581,0,1,-0.0009484711793149581,0.9961674698873865,0.9746608138586409
2022-05-19 10:00:00,0.007075675930295677,1,1,0.007075675930295677,1.0032160280766123,0.9815571979194628
2022-05-19 11:00:00,0.009719366337116009,1,1,0.009719366337116009,1.0129666521687553,0.9910973119068752
2022-05-19 12:00:00,0.000812549835859766,1,0,-0.000812549835859766,1.0137897380557064,0.9902919959487643
2022-05-19 13:00:00,0.001265544756031245,1,1,0.001265544756031245,1.015072734342421,0.9915452547911769
2022-05-19 14:00:00,0.009285023803793813,1,1,0.009285023803793813,1.0244977088433724,1.0007517760844518
2022-05-19 15:00:00,0.017124090354777577,1,0,-0.017124090354777577,1.042041300177869,0.9836148122480775
2022-05-19 16:00:00,-0.006399876618949474,0,1,-0.006399876618949474,1.035372364424881,0.9773197988091186
2022-05-19 17:00:00,0.000884246562019797,1,1,0.000884246562019797,1.0362878888785338,0.9781839904812094
2022-05-19 18:00:00,0.00098588204474237,1,1,0.00098588204474237,1.037309546501363,0.9791483645138793
2022-05-19 19:00:00,-0.00621052452418136,0,0,0.00621052452418136,1.030867310123649,0.9852293894445048
2022-05-19 20:00:00,0.0060885541212660765,1,0,-0.0060885541212660765,1.0371438015331809,0.97923076698501
2022-05-19 21:00:00,0.002680442478838474,1,1,0.002680442478838474,1.0399238058354745,0.9818555387294222
2022-05-19 22:00:00,-0.002202684121850651,0,1,-0.002202684121850651,1.037633182180426,0.9796928211243118
2022-05-19 23:00:00,0.004114581776593074,1,0,-0.004114581776593074,1.041902608762614,0.9756617948958546
2022-05-20 00:00:00,-0.0027738659458343973,0,0,0.0027738659458343973,1.0390125105972914,0.978368149923368
2022-05-20 01:00:00,0.007302653363506106,1,1,0.007302653363506106,1.0466000588025297,0.9855128333841531
2022-05-20 02:00:00,-0.0047477472253708575,0,1,-0.0047477472253708575,1.041631066277277,0.9808338675638861
2022-05-20 03:00:00,-0.004611146356673035,0,0,0.004611146356673035,1.0368279529810152,0.985356636078805
2022-05-20 04:00:00,-0.0030201392905385704,0,0,0.0030201392905385704,1.0336965881426885,0.9883325503706194
2022-05-20 05:00:00,0.0028994040070691174,1,1,0.0028994040070691174,1.036693692172443,0.9911981257274808
2022-05-20 06:00:00,-0.006828538242902971,0,1,-0.006828538242902971,1.0296145896492672,0.984429691419657
2022-05-20 07:00:00,0.009937714873255343,1,1,0.009937714873255343,1.0398466058705453,0.9942126730057522
2022-05-20 08:00:00,-0.0023276382428606412,0,1,-0.0023276382428606412,1.0374262191440122,0.9918985055665274
2022-05-20 09:00:00,0.003987667833902142,1,0,-0.003987667833902142,1.0415631303081396,0.9879431438013841
2022-05-20 10:00:00,0.00040398259291341,1,0,-0.00040398259291341,1.0419839036822045,0.9875440319685003
2022-05-20 11:00:00,0.004521450750390343,1,1,0.004521450750390343,1.0466951825854032,0.9920091636728877
2022-05-20 12:00:00,-0.00817882590710639,0,0,0.00817882590710639,1.0381344449092302,1.0001226339208225
2022-05-20 13:00:00,0.004164455950407486,1,1,0.004164455950407486,1.0424577100756554,1.0042876005747912
2022-05-20 14:00:00,-0.02561549003705743,0,1,-0.02561549003705743,1.0157546449891588,0.9785622815479272
2022-05-20 15:00:00,-0.013387489461252122,0,1,-0.013387489461252122,1.0021562403841486,0.9654617893165255
2022-05-20 16:00:00,-0.009358743343269582,0,1,-0.009358743343269582,0.9927773173405374,0.9564262802225784
2022-05-20 17:00:00,0.0024816773355598176,1,1,0.0024816773355598176,0.9952410703082393,0.9587998216453405
2022-05-20 18:00:00,0.0017564344757869943,1,0,-0.0017564344757869943,0.9969891460358478,0.9571157525832242
2022-05-20 19:00:00,0.010269919009685768,1,1,0.010269919009685768,1.0072281438191717,0.9669452538451484
2022-05-20 20:00:00,-0.004996849851170215,0,1,-0.004996849851170215,1.0021951760186345,0.9621135735973825
