,returns,class,signal,strat_ret,hold,strategy
2022-05-18 17:00:00,-0.005709486969933564,0.0,0.0,-0.0,0.9942905130300664,1.0
2022-05-18 18:00:00,0.006345742880453864,1.0,1.0,0.006345742880453864,1.0006000249742297,1.0063457428804539
2022-05-18 19:00:00,0.0053028700931134765,1.0,1.0,0.0053028700931134765,1.0059060769218342,1.0116822636237066
2022-05-18 20:00:00,-0.0041875745544193155,0.0,1.0,-0.0041875745544193155,1.0016937702299806,1.0074457687193987
2022-05-18 21:00:00,-0.0017927486955364724,0.0,1.0,-0.0017927486955364724,0.9998979850300738,1.0056396716317033
2022-05-18 22:00:00,-0.00541451764821177,0.0,1.0,-0.00541451764821177,0.994484019743717,1.0001946178819117
2022-05-18 23:00:00,-0.008436226417535941,0.0,1.0,-0.008436226417535941,0.9860943273845377,0.9917567496238591
2022-05-19 00:00:00,0.005599474983372321,1.0,0.0,0.0,0.9916159379019728,0.9917567496238591
2022-05-19 01:00:00,-0.004003097410393508,0.0,0.0,-0.0,0.9876464027088525,0.9917567496238591
2022-05-19 02:00:00,0.010541516902090153,1.0,1.0,0.010541516902090153,0.9980576939562964,1.002211370162781
2022-05-19 03:00:00,0.003737844266249013,1.0,1.0,0.003737844266249013,1.0017882781850367,1.0059574801863136
2022-05-19 04:00:00,-0.0029211713937433714,0.0,0.0,-0.0,0.9988618829242152,1.0059574801863136
2022-05-19 05:00:00,-0.0015415638784064267,0.0,0.0,-0.0,0.9973220735259822,1.0059574801863136
2022-05-19 06:00:00,0.009459303067201663,1.0,0.0,0.0,1.0067560452750746,1.0059574801863136
2022-05-19 07:00:00,-0.0056410794148537,0.0,0.0,-0.0,1.0010768544722939,1.0059574801863136
2022-05-19 08:00:00,-0.005494847994150787,0.0,1.0,-0.005494847994150787,0.995576089326506,1.0004298967441108
2022-05-19 09:00:00,-0.0009484711793149581,0.0,1.0,-0.0009484711793149581,0.9946318140989647,0.9994810178201239
2022-05-19 10:00:00,0.007075675930295677,1.0,1.0,0.007075675930295677,1.001669506485491,1.0065530216007013
2022-05-19 11:00:00,0.009719366337116009,1.0,1.0,0.009719366337116009,1.0114050993677417,1.0163360791553695
2022-05-19 12:00:00,0.000812549835859766,1.0,0.0,0.0,1.0122269164152207,1.0163360791553695
2022-05-19 13:00:00,0.001265544756031245,1.0,0.0,0.0,1.0135079348812037,1.0163360791553695
2022-05-19 14:00:00,0.009285023803793813,1.0,0.0,0.0,1.0229183801819095,1.0163360791553695
2022-05-19 15:00:00,0.017124090354777577,1.0,1.0,0.017124090354777577,1.0404349269497073,1.0337399100056464
2022-05-19 16:00:00,-0.006399876618949474,0.0,1.0,-0.006399876618949474,1.0337762717871835,1.0271241021255262
2022-05-19 17:00:00,0.000884246562019797,1.0,0.0,0.0,1.0346903849014089,1.0271241021255262
2022-05-19 18:00:00,0.00098588204474237,1.0,1.0,0.00098588204474237,1.0357104675737507,1.0281367253355338
2022-05-19 19:00:00,-0.00621052452418136,0.0,1.0,-0.00621052452418136,1.0292781623149325,1.021751456988626
2022-05-19 20:00:00,0.0060885541212660765,1.0,1.0,0.0060885541212660765,1.0355449781120243,1.0279724460329835
2022-05-19 21:00:00,0.002680442478838474,1.0,1.0,0.002680442478838474,1.0383206968601035,1.0307278670444058
2022-05-19 22:00:00,-0.002202684121850651,0.0,0.0,-0.0,1.036033604347741,1.0307278670444058
2022-05-19 23:00:00,0.004114581776593074,1.0,1.0,0.004114581776593074,1.0402964493361282,1.0349688811427733
2022-05-20 00:00:00,-0.0027738659458343973,0.0,0.0,-0.0,1.0374108064417422,1.0349688811427733
2022-05-20 01:00:00,0.007302653363506106,1.0,0.0,0.0,1.0449866579567415,1.0349688811427733
2022-05-20 02:00:00,-0.0047477472253708575,0.0,0.0,-0.0,1.0400253254508778,1.0349688811427733
2022-05-20 03:00:00,-0.004611146356673035,0.0,0.0,-0.0,1.0352296164605772,1.0349688811427733
2022-05-20 04:00:00,-0.0030201392905385704,0.0,0.0,-0.0,1.0321030788211754,1.0349688811427733
2022-05-20 05:00:00,0.0028994040070691174,1.0,0.0,0.0,1.0350955626236178,1.0349688811427733
2022-05-20 06:00:00,-0.006828538242902971,0.0,1.0,-0.006828538242902971,1.0280273729891833,1.0279015565576755
2022-05-20 07:00:00,0.009937714873255343,1.0,0.0,0.0,1.0382436159038515,1.0279015565576755
2022-05-20 08:00:00,-0.0023276382428606412,0.0,0.0,-0.0,1.0358269603580679,1.0279015565576755
2022-05-20 09:00:00,0.003987667833902142,1.0,0.0,0.0,1.0399574942093763,1.0279015565576755
2022-05-20 10:00:00,0.00040398259291341,1.0,0.0,0.0,1.0403776189344067,1.0279015565576755
2022-05-20 11:00:00,0.004521450750390343,1.0,0.0,0.0,1.045081635100227,1.0279015565576755
2022-05-20 12:00:00,-0.00817882590710639,0.0,0.0,-0.0,1.0365340943480281,1.0279015565576755
2022-05-20 13:00:00,0.004164455950407486,1.0,1.0,0.004164455950407486,1.040850694925036,1.0321822073113152
2022-05-20 14:00:00,-0.02561549003705743,0.0,0.0,-0.0,1.0141887943191195,1.0321822073113152
2022-05-20 15:00:00,-0.013387489461252122,0.0,0.0,-0.0,1.0006113525234523,1.0321822073113152
2022-05-20 16:00:00,-0.009358743343269582,0.0,1.0,-0.009358743343269582,0.9912468876888235,1.0225222789495991
2022-05-20 17:00:00,0.0024816773355598176,1.0,0.0,0.0,0.993706842623945,1.0225222789495991
2022-05-20 18:00:00,0.0017564344757869943,1.0,0.0,0.0,0.9954522235811551,1.0225222789495991
