,returns,signal,realized_returns,strat_nav,nav
2022-05-16 14:00:00,0.0003104093945542896,1,0.0003104093945542896,1.0003104093945543,1.0003104093945543
2022-05-16 15:00:00,0.004250096021747529,1,0.004250096021747529,1.0045618246860348,1.0045618246860348
2022-05-16 16:00:00,-0.012280893054250841,1,-0.012280893054250841,0.9922249083506826,0.9922249083506826
2022-05-16 17:00:00,0.014161275392926775,1,0.014161275392926775,1.0062760785295581,1.0062760785295581
2022-05-16 18:00:00,0.00834469535590232,0,0.0,1.0062760785295581,1.0146731458488194
2022-05-16 19:00:00,-0.011099192196852958,1,-0.011099192196852958,0.9951072269308631,1.0034110935860578
2022-05-16 20:00:00,0.008157714065735178,1,0.008157714065735178,1.0032250271529117,1.0115966343779195
2022-05-16 21:00:00,0.006070689239131788,1,0.006070689239131788,1.0093152945296766,1.0177377231805795
2022-05-16 22:00:00,-0.004339510877404473,1,-0.004339510877404473,1.0049353598303343,1.0133212392604924
2022-05-16 23:00:00,-0.003872071888343487,1,-0.003872071888343487,1.001044177873933,1.0093975865760905
2022-05-17 00:00:00,0.010914165819098098,1,0.010914165819098098,1.0119697400234917,1.0204143192133794
2022-05-17 01:00:00,-0.001846498538733199,1,-0.001846498538733199,1.010101139377296,1.0185301256640495
2022-05-17 03:00:00,0.014154819273615171,1,0.014154819273615171,1.0243989384532544,1.0329472355175566
2022-05-17 04:00:00,0.0018523299722126296,1,0.0018523299722126296,1.026296463310454,1.03486059464162
2022-05-17 05:00:00,0.001433866454726651,1,0.001433866454726651,1.0277680353817995,1.0363444465335951
2022-05-17 06:00:00,0.003658321491642802,1,0.003658321491642802,1.0315279412740603,1.0401357276950935
2022-05-17 07:00:00,-0.0071019467716934015,1,-0.0071019467716934015,1.0242020847416176,1.0327487391216663
2022-05-17 08:00:00,0.007879929156457077,1,0.007879929156457077,1.032272724611277,1.0408867260223653
2022-05-17 10:00:00,-0.0017821612363961847,1,-0.0017821612363961847,1.0304330481760857,1.039031698047769
2022-05-17 11:00:00,-0.0011885487703483522,1,-0.0011885487703483522,1.0292083282437496,1.0377967582007013
2022-05-17 12:00:00,0.0068377408278910146,1,0.0068377408278910146,1.0362457880501874,1.0448929434653031
2022-05-17 13:00:00,0.004578698974463169,0,0.0,1.0362457880501874,1.0496771937139715
