,ETH-close,hold,signal,strategy
2022-05-06 09:00:00+00:00,0.0034242243001849,1.003424224300185,0,1.0
2022-05-06 10:00:00+00:00,-0.0147505888155425,0.9886231261599783,0,1.0
2022-05-06 11:00:00+00:00,-0.0056433048284227,0.9830440244986294,1,0.9943566951715773
2022-05-06 12:00:00+00:00,0.003658030301759,0.9866400293282085,0,0.9943566951715773
2022-05-06 13:00:00+00:00,-0.0112126096787451,0.9755772197859257,0,0.9943566951715773
2022-05-06 14:00:00+00:00,0.0141942722054713,0.9894248284010241,0,0.9943566951715773
2022-05-06 15:00:00+00:00,-0.0006084734664791,0.9888227896458665,0,0.9943566951715773
2022-05-06 16:00:00+00:00,0.0060859912491491,0.9948407564906104,1,1.0004083413169245
2022-05-06 17:00:00+00:00,-0.0085813892332002,0.9863036407341131,1,0.9918234479479437
2022-05-06 18:00:00+00:00,0.0015802198363585,0.9878622173118738,0,0.9918234479479437
2022-05-06 19:00:00+00:00,7.977575661044511e-05,0.9879410247676867,0,0.9918234479479437
2022-05-06 20:00:00+00:00,0.004613738267819,0.9924991260800058,0,0.9918234479479437
2022-05-06 21:00:00+00:00,-0.005160204456977,0.987377627666062,0,0.9918234479479437
2022-05-06 22:00:00+00:00,0.0034307698733675,0.9907650930846958,0,0.9918234479479437
2022-05-06 23:00:00+00:00,-0.0010731385697078,0.9897018648497865,0,0.9918234479479437
2022-05-07 00:00:00+00:00,-0.0017395748708386,0.9879802043560717,0,0.9918234479479437
2022-05-07 01:00:00+00:00,-0.0010263436367284,0.9869661971601172,0,0.9918234479479437
2022-05-07 02:00:00+00:00,-0.0014667901966781,0.9855185248176701,0,0.9918234479479437
2022-05-07 03:00:00+00:00,-0.0041622984351511,0.981416502604009,1,0.9876951827626038
2022-05-07 04:00:00+00:00,-0.0039596250524482,0.9775304612334121,1,0.9837842801727547
2022-05-07 05:00:00+00:00,0.004233915217322,0.9816692423286242,1,0.9879495394071404
2022-05-07 06:00:00+00:00,-0.0033343653618356,0.9783959984102242,1,0.9846553546836997
2022-05-07 07:00:00+00:00,0.0035846892104052,0.9819032439892289,1,0.9881850381096021
2022-05-07 08:00:00+00:00,0.0045264209380637,0.9863477513919745,1,0.9926579795567828
2022-05-07 09:00:00+00:00,-0.0003085944789493,0.9860433699215709,1,0.9923516507848067
2022-05-07 10:00:00+00:00,0.0013735102196761,0.9873977105672022,1,0.9937146559186721
2022-05-07 11:00:00+00:00,-0.0001330221432382,0.9872663648075141,1,0.9935824698653747
2022-05-07 12:00:00+00:00,-0.0010146444626049,0.9862646404573461,1,0.9925743369141845
2022-05-07 13:00:00+00:00,-0.0036679021788514,0.9826471182336886,1,0.988933671341145
2022-05-07 14:00:00+00:00,0.0037288495291654,0.98631126147785,1,0.9926212561959012
2022-05-07 15:00:00+00:00,0.0019183560604834,0.988203357663829,0,0.9926212561959012
2022-05-07 16:00:00+00:00,-0.0016316176730758,0.9865909876008718,1,0.9910016778116213
2022-05-07 17:00:00+00:00,-0.001375019697014,0.9852344055600241,1,0.9896390309848564
2022-05-07 18:00:00+00:00,0.0017977855278992,0.9870056457159283,1,0.9914181897126052
2022-05-07 19:00:00+00:00,-0.0011557993759736,0.9858648652065274,0,0.9914181897126052
2022-05-07 20:00:00+00:00,-0.0034249393899131,0.9824883377965502,0,0.9914181897126052
2022-05-07 21:00:00+00:00,-0.0130141627745393,0.9697020746443794,0,0.9914181897126052
2022-05-07 22:00:00+00:00,-0.0135364541106457,0.9565757470099578,0,0.9914181897126052
2022-05-07 23:00:00+00:00,0.0124147294563163,0.9684513761135602,0,0.9914181897126052
