,ETH-close,real,signal,strat,optimal
2022-05-02 09:00:00+00:00,-0.005478283116742,0.994521716883258,1.0,0.994521716883258,0.0
2022-05-02 10:00:00+00:00,-0.004760327042965,0.9897874682595625,0.0,0.994521716883258,0.0
2022-05-02 11:00:00+00:00,-0.0050179298724412,0.9848207841552149,0.0,0.994521716883258,0.0
2022-05-02 12:00:00+00:00,0.0015444720570707,0.9863418123375651,1.0,0.9960577278851342,1.0
2022-05-02 13:00:00+00:00,0.0120939143923923,0.9982705457776128,1.0,1.008103964776058,1.0
2022-05-02 14:00:00+00:00,-0.0013977186170188,0.9968752444509579,0.0,1.008103964776058,0.0
2022-05-02 15:00:00+00:00,-0.0020219925245926,0.9948595701587266,0.0,1.008103964776058,0.0
2022-05-02 16:00:00+00:00,-0.0030370146431507,0.991838167076276,0.0,1.008103964776058,0.0
2022-05-02 17:00:00+00:00,-0.0063987207590764,0.9854916716069607,1.0,1.001653389009338,0.0
2022-05-02 18:00:00+00:00,0.001761638919733,0.9872277520907363,0.0,1.001653389009338,1.0
2022-05-02 19:00:00+00:00,0.0148823092030079,1.0019199807511412,1.0,1.0165603044588156,1.0
2022-05-02 20:00:00+00:00,-0.004468192195308,0.9974432097128257,1.0,1.0120181176403729,0.0
2022-05-02 21:00:00+00:00,0.0124956883602895,1.0099069492184842,0.0,1.0120181176403729,1.0
2022-05-02 22:00:00+00:00,-0.0010698261146983,1.008826524390795,1.0,1.0109354342295733,0.0
2022-05-02 23:00:00+00:00,-0.001562740312908,1.0072499905123986,1.0,1.0093556046727556,0.0
2022-05-03 00:00:00+00:00,-0.006046471850526,1.0011596817983228,1.0,1.0032525644219312,0.0
2022-05-03 01:00:00+00:00,0.0010734143007011,1.0022343409180505,0.0,1.0032525644219312,1.0
2022-05-03 02:00:00+00:00,-0.0009017384180664,1.0013305877089393,0.0,1.0032525644219312,0.0
2022-05-03 03:00:00+00:00,0.0022168478546249,1.0035503852740721,0.0,1.0032525644219312,1.0
2022-05-03 04:00:00+00:00,0.001542229828517,1.0050980906126616,0.0,1.0032525644219312,1.0
2022-05-03 05:00:00+00:00,-0.0025404825187285,1.0025446564838527,0.0,1.0032525644219312,0.0
2022-05-03 06:00:00+00:00,-0.0012932189951261,1.0012481466906256,1.0,1.0019551391487118,0.0
2022-05-03 07:00:00+00:00,0.0010663576661764,1.002315835327594,0.0,1.0019551391487118,1.0
2022-05-03 08:00:00+00:00,0.0011454117420801,1.0034638996546512,1.0,1.0031027903301304,1.0
2022-05-03 09:00:00+00:00,-0.0038470308895338,0.9996035430361477,0.0,1.0031027903301304,0.0
2022-05-03 10:00:00+00:00,-0.0015911917383031,0.99801298213689,0.0,1.0031027903301304,0.0
2022-05-03 11:00:00+00:00,0.0051032396310912,1.0031060815396746,0.0,1.0031027903301304,1.0
2022-05-03 12:00:00+00:00,-0.0020092612522619,1.0010905793581286,0.0,1.0031027903301304,0.0
2022-05-03 13:00:00+00:00,-0.0032832171505072,0.9978037815987688,1.0,0.9998093860451969,0.0
