,returns,signal,realized_returns,strat_nav,nav
2022-05-04 18:00:00,0.014286823612150501,1,0.014286823612150501,1.0142868236121505,1.0142868236121505
2022-05-04 19:00:00,0.005400768451745863,0,0.0,1.0142868236121505,1.0197647518901365
2022-05-04 20:00:00,0.0003274552001151232,1,0.0003274552001151232,1.0146189571069506,1.020098679161037
2022-05-04 21:00:00,-0.0014905762619820129,1,-0.0014905762619820129,1.01310659017453,1.0185781442850004
2022-05-04 22:00:00,-0.0012534816068103805,0,0.0,1.01310659017453,1.01730137531604
2022-05-04 23:00:00,-0.00045907521967636367,1,-0.00045907521967636367,1.01264149804409,1.0168343574636898
2022-05-05 00:00:00,-0.000950851076665149,1,-0.000950851076665149,1.011678626785399,1.0158674994201053
2022-05-05 01:00:00,-0.0002201588473171867,1,-0.0002201588473171867,1.0114558967850704,1.015643847202406
2022-05-05 02:00:00,0.002701505469319354,1,0.002701505469319354,1.0141883504222107,1.018387614610504
2022-05-05 03:00:00,-0.0008995823402798697,1,-0.0008995823402798697,1.0132760044924534,1.0174714910968405
2022-05-05 04:00:00,0.0008878035443296017,0,0.0,1.0132760044924534,1.0183748058928905
2022-05-05 05:00:00,-0.0035390240386556915,1,-0.0035390240386556915,1.0096899963547616,1.0147707529744743
2022-05-05 06:00:00,-0.0011365966061260835,1,-0.0011365966061260835,1.0085423861316654,1.0136173679806475
2022-05-05 07:00:00,0.0006961011523529681,1,0.0006961011523529681,1.0092444336488484,1.0143229481985439
2022-05-05 08:00:00,-0.002797364646717204,0,0.0,1.0092444336488484,1.0114855170428994
2022-05-05 09:00:00,-0.00019697326001433257,0,0.0,1.0092444336488484,1.01128628144315
2022-05-05 10:00:00,0.0013235727757228144,0,0.0,1.0092444336488484,1.0126247924337302
2022-05-05 11:00:00,-0.0011252692365008032,1,-0.0011252692365008032,1.0081087619355538,1.0114853169066864
2022-05-05 12:00:00,0.0007581147112738496,1,0.0007581147112738496,1.0088730240185413,1.0122521388056709
2022-05-05 13:00:00,-0.010246023184710573,1,-0.010246023184710573,0.9985360876240182,1.001880579922695
2022-05-05 14:00:00,-0.023400549761001477,1,-0.023400549761001477,0.9751697942174167,0.978436023557633
2022-05-05 15:00:00,-0.03349744484925443,1,-0.03349744484925443,0.94250409781696,0.9456609168199874
2022-05-05 16:00:00,0.003850511519736255,1,0.003850511519736255,0.9461332207030028,0.9493021950739672
2022-05-05 17:00:00,-0.004671555898918434,1,-0.004671555898918434,0.941713306474665,0.9448674768047132
2022-05-05 18:00:00,-0.012954335854909016,1,-0.012954335854909016,0.9295140360235553,0.9326273461718044
2022-05-05 19:00:00,-0.002867190147217924,1,-0.002867190147217924,0.9268489425377678,0.9299533262338346
2022-05-05 20:00:00,0.0035396834073586625,1,0.0035396834073586625,0.9301296943607967,0.9332450665923225
2022-05-05 21:00:00,0.001686664488549816,1,0.001686664488549816,0.9316985110860208,0.9348191379052582
2022-05-05 22:00:00,-0.005167403513808733,0,0.0,0.9316985110860208,0.9299885502072709
2022-05-05 23:00:00,0.007488091748734327,0,0.0,0.9316985110860208,0.9369523897964953
2022-05-06 00:00:00,-0.005181804792768974,1,-0.005181804792768974,0.9268706312758594,0.9320972854124515
2022-05-06 01:00:00,-0.0019279350793252048,1,-0.0019279350793252048,0.9250836848718265,0.930300262358561
2022-05-06 02:00:00,0.0037312280922923158,1,0.0037312280922923158,0.9285353831045415,0.9337714248317401
2022-05-06 03:00:00,-0.0008122075251847383,0,0.0,0.9285353831045415,0.9330130086536893
2022-05-06 04:00:00,-0.0007839095302548671,1,-0.0007839095302548671,0.927807495368547,0.9322816108643539
2022-05-06 05:00:00,0.0027307550251591817,1,0.0027307550251591817,0.930341110348905,0.9348274435580852
2022-05-06 06:00:00,-0.0016220448233723594,0,0.0,0.930341110348905,0.9333111115425154
2022-05-06 07:00:00,-0.0016258595295536304,1,-0.0016258595295536304,0.9288285063889087,0.9317936787777757
2022-05-06 08:00:00,-0.002964583403810006,1,-0.002964583403810006,0.9260749168138824,0.929031298701896
2022-05-06 09:00:00,0.003482662088175381,1,0.003482662088175381,0.9293001228174803,0.9322668007846134
2022-05-06 10:00:00,-0.012725192117104545,1,-0.012725192117104545,0.917474600220179,0.9204035266402308
2022-05-06 11:00:00,-0.0022146670100832155,1,-0.0022146670100832155,0.9154426994904821,0.9183651393138165
