,BTC-close_x,BTC-close_y,signal,real,strat
2022-05-02 09:00:00+00:00,False,-0.001440812487671,0,0.998559187512329,1.0
2022-05-02 10:00:00+00:00,False,-0.0029065033515415,0,0.9956568718871118,1.0
2022-05-02 11:00:00+00:00,False,-0.0046915412742547,1,0.990985706577658,0.9953084587257452
2022-05-02 12:00:00+00:00,False,-0.0004978492749158,0,0.9904923450621864,0.9953084587257452
2022-05-02 13:00:00+00:00,True,0.0112814160239671,1,1.0016665012753878,1.006536947520804
2022-05-02 14:00:00+00:00,False,-0.0030834932686772,0,0.9985778693612457,1.006536947520804
2022-05-02 15:00:00+00:00,False,-0.0040430378949809,1,0.9945405811943289,1.0024674804992788
2022-05-02 16:00:00+00:00,False,-0.0022474626667607,1,0.9923053883675161,1.000214472262215
2022-05-02 17:00:00+00:00,False,-0.0061657485607433,0,0.9861870828473713,1.000214472262215
2022-05-02 18:00:00+00:00,False,-0.0028403049539122,1,0.9833860107904757,0.997373558141674
2022-05-02 19:00:00+00:00,True,0.0079053999396982,1,0.9911600705008788,1.005258195008064
2022-05-02 20:00:00+00:00,False,-0.0050105510886713,1,0.9861938123305831,1.0002212974646705
2022-05-02 21:00:00+00:00,True,0.0084997745635357,0,0.994576237411347,1.0002212974646705
2022-05-02 22:00:00+00:00,False,-0.001713055740812,1,0.9928724728781743,0.9985078626289662
2022-05-02 23:00:00+00:00,False,-0.0022437526712846,0,0.9906447126149089,0.9985078626289662
2022-05-03 00:00:00+00:00,False,-0.0024629310725035,1,0.9882048229703984,0.9960486065879582
2022-05-03 01:00:00+00:00,True,0.0015875995667338,0,0.9897736965191904,0.9960486065879582
2022-05-03 02:00:00+00:00,False,-0.0018323844652521,1,0.9879600505735735,0.9942234625946105
2022-05-03 03:00:00+00:00,True,0.0020825886439597,0,0.9900175649555839,0.9942234625946105
2022-05-03 04:00:00+00:00,True,0.0008551455994698,0,0.9908641741196536,0.9942234625946105
2022-05-03 05:00:00+00:00,False,-0.0001120095527422,1,0.9907531878666822,0.9941121000692394
2022-05-03 06:00:00+00:00,False,-0.0011057240251922,1,0.9896576882638223,0.9930128864364587
2022-05-03 07:00:00+00:00,True,0.0015324942572061,0,0.9911743329876865,0.9930128864364587
