,returns,class,y_pred,strat_ret,nav,strat_nav
2022-05-02 22:00:00,-0.0010698261146983024,0,1,-0.0010698261146983024,0.9989301738853017,0.9989301738853017
2022-05-02 23:00:00,-0.0015627403129080397,0,1,-0.0015627403129080397,0.9973691054327909,0.9973691054327909
2022-05-03 00:00:00,-0.006046471850526092,0,1,-0.006046471850526092,0.9913385412122071,0.9913385412122071
2022-05-03 01:00:00,0.001073414300701181,1,1,0.001073414300701181,0.9924026581791805,0.9924026581791805
2022-05-03 02:00:00,-0.0009017384180664001,0,0,-0.0,0.9915077705761091,0.9924026581791805
2022-05-03 04:00:00,0.0015422298285170388,1,1,0.0015422298285170388,0.993036903435098,0.993933171160524
2022-05-03 05:00:00,-0.002540482518728515,0,1,-0.002540482518728515,0.9905141105414689,0.9914081013144064
2022-05-03 06:00:00,-0.001293218995126133,0,0,-0.0,0.9892331588787762,0.9914081013144064
2022-05-03 07:00:00,0.001066357666176465,1,1,0.001066357666176465,0.9902880352413825,0.9924652969435525
2022-05-03 09:00:00,-0.0038470308895338645,0,1,-0.0038470308895338645,0.9864783665802731,0.9886472522894202
2022-05-03 10:00:00,-0.0015911917383031327,0,1,-0.0015911917383031327,0.9849086903533558,0.9870741249494812
2022-05-03 11:00:00,0.005103239631091272,1,1,0.005103239631091272,0.9899349154149732,0.9921114007427482
2022-05-03 12:00:00,-0.0020092612522619735,0,1,-0.0020092612522619735,0.9879458775471687,0.9901179897473085
2022-05-03 13:00:00,-0.0032832171505072782,0,1,-0.0032832171505072782,0.9847022366982329,0.9868672173823443
2022-05-03 14:00:00,-0.002342925015015207,0,1,-0.002342925015015207,0.9823951531955312,0.9845550614922407
2022-05-03 15:00:00,-0.00046569157576303866,0,1,-0.00046569157576303866,0.9819376600486176,0.9840965624942289
2022-05-03 16:00:00,-0.005586751141960278,0,1,-0.005586751141960278,0.9764518187050072,0.9785986598999151
2022-05-03 17:00:00,0.0007798911074758941,1,1,0.0007798911074758941,0.9772133447952939,0.9793618602925589
2022-05-03 18:00:00,-0.009317506995473734,0,1,-0.009317506995473734,0.9681081526190934,0.9702366493081828
2022-05-03 20:00:00,-0.00277373993510055,0,0,-0.0,0.9654228723746775,0.9702366493081828
2022-05-03 21:00:00,0.006925062639621782,1,1,0.006925062639621782,0.9721084862395957,0.9769555988798987
2022-05-03 23:00:00,-0.0014183546158053062,0,0,-0.0,0.9707296916810743,0.9769555988798987
2022-05-04 00:00:00,0.00371458911430933,1,1,0.00371458911430933,0.9743355536267296,0.9805845875126615
2022-05-04 01:00:00,-0.0018377064863785986,0,1,-0.0018377064863785986,0.9725450108599205,0.9787825608557467
2022-05-04 02:00:00,0.002440341421930725,1,1,0.002440341421930725,0.974918352734614,0.9811711244820663
2022-05-04 03:00:00,0.0007410184589138336,1,1,0.0007410184589138336,0.9756407852299243,0.9818981903966608
2022-05-04 05:00:00,6.287406246685556e-05,1,1,6.287406246685556e-05,0.9757021277296,0.9819599263248199
2022-05-04 06:00:00,0.006286748997985869,1,1,0.006286748997985869,0.9818361221034367,0.9881332619077047
2022-05-04 08:00:00,0.0058973437378395666,1,1,0.0058973437378395666,0.9876263472097081,0.9939606234119671
2022-05-04 09:00:00,-0.004024497689172679,0,1,-0.004024497689172679,0.9836516472575966,0.989960431179917
2022-05-04 10:00:00,0.01034279637540414,1,1,0.01034279637540414,0.9938253559495127,1.0001993903393183
2022-05-04 11:00:00,0.0034019518063796994,1,1,0.0034019518063796994,0.9972063019144111,1.003602020462023
